"Python Developer in Test, Embedded Software",Rockwell Automation Sp. z o. o.,2019-01-29,2019-02-28," The Motion Business is a fast-growing part of Rockwell Automation that develops motion control products such as servo drives, servo motors, and independent cart systems for use in industrial applications. The most common market for these products..."
DevOps Engineer,ENGINIETY,2019-01-28,2019-02-05," Szukamy osoby, która: bêdzie wspomaga³a proces wydawczy naszych aplikacji bêdzie odpowiedzialna za tworzenie i wdra¿anie dobrych praktyk wytwarzania oprogramowania zaopiekuje siê naszymi œrodowiskami deweloperskimi i testowymi ..."
SAP Variant Configuration Developer Modeler,Rockwell Automation Sp. z o. o.,2019-01-28,2019-02-14, This position is responsible for implementation of customer configured products offered by Rockwell Automation within the SAP environment to our customers. CHALLENGES WAITING FOR YOU Programming product offerings in SAP using Object Oriented...
"Software Developer C/C++, CUDA and OpenCL - praca zdalna",Copernicus Computing Sp. z o.o.,2019-01-28,2019-02-21," We are looking for a Software Developer C/C++, CUDA and OpenCL to join our software development team. What you will be doing: Designing and implementing software features to meet product requirements Brainstorming new ideas and concepts..."
eLearning Developer,Rockwell Automation Sp. z o. o.,2019-01-28,2019-02-14," CHALLENGES WAITING FOR YOU Course Design, Process for e-Learning, Learning Objectives, Design Process, Storyboarding Works with SMEs, Artists, Programmers Develops instructional material, coordinates, writes and edits educational content, and..."
Senior Embedded Software Engineer,Rockwell Automation Sp. z o. o.,2019-01-28,2019-02-05," Position Summary: The Senior Embedded Software Engineer participates in the firmware design, implementation, and testing activities for a motion control system. Work assignments include requirements analysis, design, coding, and testing of the..."
Software Developer,Rockwell Automation Sp. z o. o.,2019-01-28,2019-02-23," CHALLENGES WAITING FOR YOU Let’s imagine you are a part of autonomous and self-organizing Agile team, delivering software dedicated to industrial automation and information using the newest testing tools, you are improving your skills together..."
P³atny Program Sta¿owy w IT,ZF Group,2019-01-28,2019-02-27, Jesteœmy now¹ jednostk¹ w ramach globalnej struktury IT firmy ZF TRW. Stworzyliœmy program rozwoju talentów IT dla studentów i absolwentów informatyki i kierunków pokrewnych. Oferujemy: Dostêp do nowych technologii; Zatrudnienie w oparciu o umowê...
"Big Data Specialist (Hadoop, Linux) - Remote Work",DXC Technology,2019-01-28,2019-02-09, The successful candidate will work within Analytics practice and be mainly responsible for development of new solutions and/or enhancements to Kafka-based platform. The work will be delivered for a strategic multinational customer from automotive...
Programista Java,Omnis Sp. z o.o.,2019-01-28,2019-02-09," Tworzenie i rozwijanie aplikacji WWW i mobilnych opartych o rozwi¹zania chmurowe. Wymagania: minimum 3 lata doœwiadczenia w rozwoju web serwisów opartych na REST; znajomoœæ technologii Java, Spring, Hibernate, SQL; znajomoœæ jêzyka angielskiego;..."
Programista FrontEnd Angular,EUVIC Sp. z o.o,2019-01-28,2019-02-27," Opis Stanowiska: Projektowanie oraz rozwijanie responsywnych interfejsów u¿ytkownika z wykorzystaniem nowoczesnych frameworków Pisanie automatycznych testów (protractor, jasmine) ..."
Programista C++,Software Interactive Sp. z o.o.,2019-01-28,2019-02-27," Opis stanowiska pracy Mamy ciekaw¹ ofertê pracy dla programistów C++, którzy chcieliby do³¹czyæ do zespo³u pracuj¹cego przy ambitnych i zró¿nicowanych projektach, w szczególnoœci w obrêbie zaawansowanej wizji komputerowej. Jeœli nie lubisz..."
FullStack .NET Developer,EUVIC Sp. z o.o,2019-01-28,2019-02-27," Opis Stanowiska: Projektowanie oraz rozwijanie responsywnych interfejsów u¿ytkownika z wykorzystaniem nowoczesnych frameworków Pisanie automatycznych testów (protractor, jasmine) Tworzenie oraz rozwijanie wydajnego Rest API w technologii..."
C#/.NET Developer,Fujitsu Technology Solutions Sp. z o.o.,2019-01-28,2019-02-27," Role Purpose: You will be a part of fast growing R&D/BAS facility (+370 Engineers) located in Katowice and Lodz with focus on establishing global R&D/BAS delivery department. You will be involved in a IoT project. Responsibilities: Design,..."
Programista PHP,CENTRUMELEKTRONIKI sp. z o.o.,2019-01-28,2019-02-27," ZADANIA: Bardzo dobra znajomoœæ PHP7 (OOP) Znajomoœæ zagadnieñ XML, SOAP/WSDL, REST, JSON, AJAX Umiejêtnoœæ tworzenia i optymalizacji zapytañ MySQL Znajomoœæ HTML, CSS, Javascript Znajomoœæ j. angielskiego – czytanie dokumentacji technicznej..."
Senior Javascript Developer – Mobile Apps,Versum sp. z o.o.,2019-01-28,2019-02-27," We're looking for someone with experience in development of complex JavaScript applications, who is interested in working on native mobile applications using React Native framework. Our mobile apps will be used daily by tens of thousands of..."
Programista,ING Bank Œl¹ski S.A.,2019-01-28,2019-02-27, Twoje zadania: Automatyzacja procesów Tworzenie i rozwój aplikacji wspieraj¹cych te procesy ...
Software Development Team Lead,Sage Sp. z o.o.,2019-01-28,2019-02-14," Main responsibilities: Work closely with the team, especially the business analyst, testers and other developers to implement the user stories Liaise with local country experts and product teams for additional detail Push forward the technology..."
Senior Ruby On Rails Developer,Sage Sp. z o.o.,2019-01-28,2019-02-14," We are looking for Senior Developer to work with a local cross functional Agile development team to deliver new product user stories for our global compliance cloud initiative. Key accountabilities Work closely with the team, especially the..."
Senior Java Developer,Sage Sp. z o.o.,2019-01-28,2019-02-14," We are looking for Senior Developer to work with a local cross functional Agile development team to deliver new product user stories for our global compliance cloud initiative. The candidate will work very closely with other team members (BAs,..."
Senior Frontend Developer,Versum sp. z o.o.,2019-01-28,2019-02-27," We're looking for someone with good understanding of modern web technologies, who will bridge the gap between graphical design and technical implementation, taking an active role on both sides and defining how the application looks as well as how..."
Programista CNC,MSP MARCIN SZENDER,2019-01-28,2019-02-27," Opis stanowiska: Programista Obrabiarek Sterowanych Numerycznie (frezarki 3,4 i 5 osi) ..."
